,Centre,SeriesNum,PET/CT,5minPET,Manufacturer,Scanner,Skull,FrameNum,Activity,image_ref_index,DCM_path,Slice Thickness,Rows,Columns,Number of Slices,Pixel Spacing
142,Christie,29,C,False,GE,DSTE8,False,,,56.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CT Brain/,3.75,512,512,47.0,"[0.585938, 0.585938]"
143,Christie,30,P,False,GE,DSTE8,False,,,57.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CTAC Brain/,3.75,512,512,47.0,"[0.976562, 0.976562]"
144,Christie,31,P,True,GE,DSTE8,False,1.0,11.546382097967001,58.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CTAC_2X20_128_30cm_2-14mm/Frame1/,3.27,128,128,47.0,"[2.34375, 2.34375]"
145,Christie,32,P,True,GE,DSTE8,False,2.0,11.187301017271809,58.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CTAC_2X20_128_30cm_2-14mm/Frame2/,3.27,128,128,47.0,"[2.34375, 2.34375]"
146,Christie,33,P,True,GE,DSTE8,False,3.0,10.839387003578143,58.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CTAC_2X20_128_30cm_2-14mm/Frame3/,3.27,128,128,47.0,"[2.34375, 2.34375]"
147,Christie,34,P,True,GE,DSTE8,False,4.0,10.502292772130218,58.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CTAC_2X20_128_30cm_2-14mm/Frame4/,3.27,128,128,47.0,"[2.34375, 2.34375]"
148,Christie,35,P,True,GE,DSTE8,False,5.0,10.175681838385195,58.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CTAC_2X20_128_30cm_2-14mm/Frame5/,3.27,128,128,47.0,"[2.34375, 2.34375]"
149,Christie,36,P,True,GE,DSTE8,False,6.0,9.859228182137223,58.0,D:/Hoffman/_Christie/Hoffman_NoSkull_2014_06_09/Standard_CTAC_2X20_128_30cm_2-14mm/Frame6/,3.27,128,128,47.0,"[2.34375, 2.34375]"
150,Christie,37,,,,,,1.0,11.546382097967001,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame1/,3.27,128,128,47.0,"[1.953125, 1.953125]"
151,Christie,38,,,,,,2.0,11.187301017271809,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame2/,3.27,128,128,47.0,"[1.953125, 1.953125]"
152,Christie,39,,,,,,3.0,10.839387003578143,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame3/,3.27,128,128,47.0,"[1.953125, 1.953125]"
153,Christie,40,,,,,,4.0,10.502292772130218,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame4/,3.27,128,128,47.0,"[1.953125, 1.953125]"
154,Christie,41,,,,,,5.0,10.175681838385195,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame5/,3.27,128,128,47.0,"[1.953125, 1.953125]"
155,Christie,42,,,,,,6.0,9.859228182137223,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CTAC-50cm_3x20_128_25cm_4mm/Frame6/,3.27,128,128,47.0,"[1.953125, 1.953125]"
156,Christie,43,C,False,GE,DSTE8,True,,,67.0,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CT_2-5mm_25cm/,3.75,512,512,61.0,"[0.488281, 0.488281]"
157,Christie,44,C,False,GE,DSTE8,True,,,68.0,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Hoffman_CT_3-27mm_AC_50cm/,3.75,512,512,47.0,"[0.976562, 0.976562]"
158,Christie,45,P,False,GE,DSTE8,True,,,69.0,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_3D_noAC_Iterative/,3.27,128,128,47.0,"[2.34375, 2.34375]"
159,Christie,46,C,False,GE,DSTE8,True,,,70.0,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CT Brain/,3.75,512,512,47.0,"[0.585938, 0.585938]"
160,Christie,47,P,False,GE,DSTE8,True,,,71.0,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CTAC Brain/,3.75,512,512,47.0,"[0.976562, 0.976562]"
161,Christie,48,,,,,,1.0,11.546382097967001,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CTAC_2x20_128_30cm_2-14mm/Frame1/,3.27,128,128,47.0,"[2.34375, 2.34375]"
162,Christie,49,,,,,,2.0,11.187301017271809,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CTAC_2x20_128_30cm_2-14mm/Frame2/,3.27,128,128,47.0,"[2.34375, 2.34375]"
163,Christie,50,,,,,,3.0,10.839387003578143,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CTAC_2x20_128_30cm_2-14mm/Frame3/,3.27,128,128,47.0,"[2.34375, 2.34375]"
164,Christie,51,,,,,,4.0,10.502292772130218,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CTAC_2x20_128_30cm_2-14mm/Frame4/,3.27,128,128,47.0,"[2.34375, 2.34375]"
165,Christie,52,,,,,,5.0,10.175681838385195,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CTAC_2x20_128_30cm_2-14mm/Frame5/,3.27,128,128,47.0,"[2.34375, 2.34375]"
166,Christie,53,,,,,,6.0,9.859228182137223,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/Standard_CTAC_2x20_128_30cm_2-14mm/Frame6/,3.27,128,128,47.0,"[2.34375, 2.34375]"
167,Christie,54,,,,,,1.0,11.546382097967001,,D:/Hoffman/_Christie/Hoffman_Skull_2014_06_09/_Frame1_Hoffman_CTAC-50cm_3x20_128_25cm_4mm/,3.27,128,128,47.0,"[1.953125, 1.953125]"
168,Dundee,01,P,True,SIEMENS,mCT,True,1.0,34.303381770247434,72.0,D:/Hoffman/_Dundee/#20_DD_Hoffman_1x5_Skull/,3.0,128,128,56.0,"[1.81823, 1.81823]"
169,Dundee,02,P,True,SIEMENS,mCT,True,2.0,33.2365804732655,73.0,D:/Hoffman/_Dundee/#21_DD_Hoffman_2x5_Skull/,3.0,128,128,56.0,"[1.81823, 1.81823]"
170,Dundee,03,P,True,SIEMENS,mCT,True,3.0,32.20295564310729,74.0,D:/Hoffman/_Dundee/#22_DD_Hoffman_3x5_Skull/,3.0,128,128,56.0,"[1.81823, 1.81823]"
